movie.num,movie.year,movie.name,ratio1,ratio2,ratio3,ratio4,ratio5,ratio6
1,2003,Dinosaur Planet,25,30,127,188,130,3.736
25,1997,Inspector Morse 31: Death Is Now My Neighbour,23,10,79,216,172,4.008
49,2003,Devo: The Complete Truth About De-evolution,21,21,44,73,72,3.6666666666666665
97,2002,Mostly Martha,12,22,108,241,117,3.858
121,2003,Beyonce: Live at Wembley,10,8,17,39,25,3.6161616161616164
145,1978,Get Out Your Handkerchiefs,51,68,177,114,45,3.074725274725275
169,2004,Cartoon Network Halloween: 9 Creepy Cartoon Capers,26,43,106,95,65,3.388059701492537
193,2005,Marilyn Manson: Fear of a Satanic Planet,24,24,29,19,25,2.975206611570248
217,1988,Cherry 2000,27,96,202,70,30,2.9529411764705884
265,2002,The Jeff Corwin Experience: Costa Rica and the Amazon,35,44,91,85,53,3.25
289,1998,The Avengers,124,180,130,54,12,2.3
313,2000,Pay It Forward,22,44,127,183,124,3.686
337,1983,Star 80,32,120,221,97,30,2.946
361,2004,The Phantom of the Opera: Special Edition,23,60,127,150,140,3.648
385,2002,The Santa Clause 2,11,45,150,189,105,3.664
409,1966,Godzilla vs. The Sea Monster,21,57,142,110,117,3.548098434004474
433,1993,Untamed Heart,9,57,186,152,96,3.538
457,2004,Kill Bill: Vol. 2,23,29,96,174,178,3.91
481,2002,Building the Great Pyramid,37,59,146,96,38,3.103723404255319
505,1997,A Thousand Acres,23,77,230,131,39,3.172
529,1998,Summer of the Monkeys,34,56,170,156,73,3.3640081799591
553,1995,Rangeela,68,70,137,146,79,3.196
577,1961,The Twilight Zone: Vol. 36,17,14,65,176,228,4.168
601,1992,The Smiths: The Complete Picture,48,50,115,110,83,3.3201970443349755
625,1999,Underground Comedy Movie,358,81,31,14,16,1.498
649,1999,Ricky Martin: The Ricky Martin Video Collection,19,11,20,10,20,3.0125
673,1999,Fight Club: Bonus Material,46,44,87,156,167,3.708
697,2000,Caillou: Caillou's Treasure Hunt and Other Adventures,38,7,55,75,34,3.287081339712919
721,1994,Royal Deceit,60,120,114,35,14,2.4839650145772594
745,1979,Fantasy Mission Force,38,37,17,9,12,2.2920353982300883
793,2004,By Brakhage: An Anthology,22,20,58,48,59,3.4927536231884058
817,1980,My Bodyguard,9,28,201,199,63,3.558
841,1994,There Goes My Baby,12,32,68,26,12,2.96
865,2005,Elvis by the Presleys,19,15,56,80,85,3.772549019607843
889,2004,Reno 911: Season 2,28,28,76,156,212,3.992
913,1979,Dead Kennedys: In God We Trust. Inc.,17,22,46,47,36,3.375
937,1998,Fallen,11,23,141,229,96,3.752
985,1999,The Mummy,23,34,139,173,131,3.71
1009,1997,Judaai,13,29,49,23,13,2.952755905511811
1033,1999,Spy Games,76,133,196,77,18,2.656
1057,1989,Doctor Who: Ghost Light,16,21,49,42,50,3.5
1081,2002,Back by Midnight,24,52,73,16,12,2.6610169491525424
1105,1993,RoboCop 3,50,103,188,96,63,3.038
1177,2004,Essential Music Videos: Totally 80s,51,30,26,5,10,2.122950819672131
1201,1991,True Colors,15,75,234,134,42,3.226
1225,2000,Jim Breuer: Heavy Metal Comedy,63,85,155,114,79,3.122983870967742
1249,1978,Taxi: Season 1,21,44,125,192,118,3.684
1273,1999,The Thrill Seekers,50,107,145,74,18,2.753807106598985
1297,1999,Agnes Browne,31,50,180,165,74,3.402
1321,2005,Midori Days,16,4,22,72,77,3.994764397905759
1345,1996,Tierra,18,27,40,34,11,2.9461538461538463
1369,1996,Breeders,67,67,33,12,9,2.0904255319148937
1393,1998,Mr. Murder,31,64,96,39,15,2.76734693877551
1417,2002,Shakedown,35,51,34,5,2,2.1181102362204722
1441,1998,Stargate SG-1: Season 2,27,14,46,112,301,4.292
1465,2001,Hysteria: The Def Leppard Story,21,20,78,47,50,3.3935185185185186
1489,2002,American Adobo,58,115,190,83,33,2.8288100208768268
1513,1962,The Twilight Zone: Vol. 42,13,14,68,177,228,4.186
1537,2002,Yes Nurse! No Nurse!,24,29,41,29,21,2.9583333333333335
1561,2003,American Wedding,20,69,159,152,100,3.486
1585,2001,Joy Ride,23,54,191,174,58,3.38
1609,1984,Hunter: Season 1,27,22,85,54,46,3.299145299145299
1633,1988,The Serpent and the Rainbow,18,59,186,161,76,3.436
1657,1995,Forbidden Games,48,55,52,20,12,2.427807486631016
1681,2003,The Tesseract,45,61,68,28,12,2.5373831775700935
1705,2004,Agatha Christie's Marple: Series 1,25,21,47,99,77,3.676579925650558
1729,1999,Roughnecks: The Starship Troopers Chronicles: The Zephyr Campaign,54,45,122,158,121,3.494
1753,2004,Making Marines,12,11,32,33,28,3.4655172413793105
1777,1992,Tito and Me,30,51,134,111,38,3.208791208791209
1801,1965,That Darn Cat,16,33,157,189,105,3.668
1849,2002,Michael Colyar: The Michael Colyar Project,18,19,42,31,23,3.1654135338345863
1873,1999,A Voice from Heaven,33,18,30,18,12,2.6216216216216215
1897,1998,Route 9,23,25,53,18,4,2.6341463414634148
1921,2001,One Week,28,48,86,51,31,3.0368852459016393
1945,2001,From Hell: Bonus Material,57,80,174,119,70,3.13
1993,1994,The Night and the Moment,41,54,39,9,5,2.2094594594594597
2017,1991,The People Under the Stairs,14,57,179,158,92,3.514
2041,1998,Silent Mobius: Vol. 2,19,14,21,38,21,3.247787610619469
2065,2001,I Love Budapest,26,25,23,4,5,2.2409638554216866
2089,2001,Strawberry Eggs (I My Me!),20,19,38,106,102,3.880701754385965
2113,2000,Air Bud: World Pup,64,79,173,110,74,3.102
2137,1997,Excess Baggage,47,125,220,90,18,2.814
2161,1993,Six Degrees of Separation,15,57,154,197,77,3.528
2185,2002,Great North: IMAX,24,30,82,41,14,2.9528795811518322
2209,1981,On Golden Pond,20,29,124,203,124,3.764
2233,2002,Dracula's Curse,51,51,31,6,2,1.9858156028368794
2257,1967,The Shooting,20,30,45,14,11,2.716666666666667
2281,1999,Midnight Dancers,63,70,88,27,16,2.481060606060606
2305,2005,The Man Who Copied,23,25,84,95,39,3.3834586466165413
2329,2004,Control Room,15,41,143,200,101,3.662
2353,2004,Fly Jefferson Airplane,11,1,41,37,29,3.6050420168067228
2377,1983,Princess Daisy,24,42,51,24,10,2.6953642384105962
2401,2000,The Pornographer,120,131,86,33,10,2.163157894736842
2425,1998,The Swan Princess: Mystery of the Enchanted Treasure,18,23,72,47,32,3.2708333333333335
2473,1983,The Osterman Weekend,44,104,227,103,22,2.91
2497,1992,The Tune,24,28,57,49,22,3.0944444444444446
2521,1988,Punchline,46,151,208,76,19,2.742
2545,1978,Avalanche,34,41,33,12,6,2.3253968253968256
2569,2002,Washington Heights,56,112,146,56,12,2.6230366492146597
2617,2002,Ghost Ship,45,87,202,121,45,3.068
2641,1977,The Sentinel,47,95,221,93,44,2.984
2665,1998,Midsomer Murders: Faithful Unto Death,18,9,77,217,179,4.06
2689,2002,Minority Report: Bonus Material,45,67,191,140,57,3.194
2737,1981,Saturday the 14th,96,142,168,69,25,2.57
2761,1999,The Beatles: Celebration,27,22,24,5,16,2.5851063829787235
2785,2003,Inhabited,25,35,33,10,5,2.3981481481481484
2809,2005,Beauty Shop,14,37,175,173,101,3.62
2833,2004,Blue's Clues: Blue's Room Snacktime Playdate,31,14,40,68,57,3.5047619047619047
2857,1965,The Spy Who Came In from the Cold,9,30,143,219,99,3.738
2881,2002,Zig Zag: Special Edition,67,128,184,81,40,2.798
2905,1998,Croupier,17,50,166,206,61,3.488
2929,2003,Visitors,39,78,73,25,6,2.4615384615384617
2953,1987,Moonstruck,16,45,159,178,102,3.61
2977,2002,Teknolust,211,152,80,41,16,1.998
3001,2003,Last of the Mississippi Jukes,11,12,48,34,16,3.2644628099173554
3025,2000,Ah! My Goddess: The Movie,25,26,86,166,197,3.968
3049,1976,At the Earth's Core,33,73,138,62,26,2.924698795180723
3073,1997,Ballykissangel: Series 2,36,27,59,158,220,3.998
3097,2001,Crash Course,17,18,42,14,7,2.7551020408163267
3145,1993,Lost in Yonkers,16,62,207,153,62,3.366
3169,1994,DNA2,30,43,85,105,67,3.412121212121212
3193,2000,Peach/ A Bitter Song/ Lavendar Limelight,73,51,29,5,6,1.9024390243902438
3217,1991,Robin Hood,33,79,242,120,26,3.054
3241,1999,Suze Orman: The Courage to be Rich,24,32,95,41,40,3.1767241379310347
3265,1990,The Grifters,15,54,182,174,75,3.48
3289,2001,My Louisiana Sky,34,56,187,156,67,3.332
3313,1999,The Substitute/The Substitute 3,97,116,191,67,29,2.63
3337,2004,Monster Island,48,62,36,5,7,2.1202531645569622
3361,2002,Hairdo U,60,37,17,7,10,2.0076335877862594
3385,2002,28 Days Later,27,67,156,169,81,3.42
3409,1998,The Grand: Series Two,25,12,30,26,23,3.086206896551724
3433,1992,Forever Young,14,55,203,160,68,3.426
3481,1999,Ravenous,32,94,164,140,70,3.244
3505,2001,Freddy Got Fingered,220,94,89,56,41,2.208
3529,1999,Twin Dragons,31,91,181,128,69,3.226
3577,1999,Escape to Watership Down,24,30,40,19,6,2.6050420168067228
3625,1983,Suburbia,41,72,162,135,90,3.322
3649,1965,Von Ryan's Express,11,36,173,201,79,3.602
3673,1998,Coming Home,40,53,158,179,70,3.372
3697,2002,Proof Positive,71,18,14,5,6,1.7456140350877194
3721,1996,Sacred Silence,56,146,170,96,32,2.804
3745,2001,The First Annual PlanetOut.com Short Movie Awards Highlights,168,156,125,29,22,2.162
3769,2004,Wonderfalls: The Complete Series,28,22,64,136,250,4.116
3793,2001,Kaaterskill Falls,51,53,24,13,3,2.0555555555555554
3817,1994,Stargate,14,29,118,180,159,3.882
3841,1996,Tenchi the Movie: Tenchi Muyo! In Love,68,48,110,141,133,3.446
3865,1991,Suburban Commando,143,132,134,66,25,2.396
3889,2005,Assisted Living,66,129,209,80,16,2.702
3913,1968,Dark Shadows: Vol. 6,41,33,88,119,148,3.699300699300699
3937,1974,Butley,52,74,65,38,19,2.588709677419355
3961,2001,Ram Dass: Fierce Grace,36,30,97,197,140,3.75
3985,2002,Crop Circles: Quest for Truth,17,16,42,22,21,3.1186440677966103
4009,1999,Intimate Betrayal,18,50,93,37,20,2.958715596330275
4033,2005,Alias: Season 4,18,19,59,129,275,4.248
4057,2000,Sharks: Great White / Ultimate Guide to Sharks,28,62,147,82,42,3.1329639889196677
4081,1980,Last Flight of Noah's Ark,14,17,50,18,11,2.9545454545454546
4105,2002,Ranma 1/2: Ranma Forever: Vol. 8: Someday Somehow,46,19,86,140,209,3.894
4129,1970,Santa Claus Is Comin' to Town,18,15,64,171,232,4.168
4153,1981,Tarzan. the Ape Man,162,174,120,34,10,2.112
4177,1988,Salaam Bombay!,18,30,89,235,128,3.85
4201,1996,Walking and Talking,51,82,182,133,52,3.106
4225,1999,Life,22,69,201,130,78,3.346
4273,2002,Jack Johnson: The September Sessions,21,42,111,149,133,3.7258771929824563
4297,1998,Eden,22,27,43,13,9,2.6491228070175437
4321,1990,A Better Tomorrow III,45,73,198,97,42,3.0395604395604394
4345,2002,Bowling for Columbine,40,32,95,166,167,3.776
4369,1981,Porky's,35,72,181,150,62,3.264
4393,1994,The Mask: Special Edition,17,60,188,154,81,3.444
4417,2005,Welcome to Mars: Nova,4,4,21,35,19,3.7349397590361444
4441,1996,The Last Supper,22,69,178,160,71,3.378
4465,1998,The Big One,27,27,123,185,138,3.76
4489,1961,Mysterious Island,15,48,187,169,81,3.506
4513,2004,Carly Simon: Live from Martha's Vineyard,13,21,60,62,43,3.507537688442211
4537,1997,Legend of the Wolf,32,34,49,25,10,2.6466666666666665
4561,1999,Everybody Loves Raymond: Season 4,45,26,68,146,215,3.92
4609,1967,Bob Dylan: Don't Look Back,36,45,119,173,127,3.62
4633,1982,Gandhi,6,12,83,179,220,4.19
4657,2004,Comfort and Joy,25,27,110,104,44,3.370967741935484
4681,1998,Orphans,83,109,178,101,29,2.768
4705,1987,Overboard,14,40,189,169,88,3.554
4729,1967,Ulysses,20,33,43,35,11,2.887323943661972
4753,2003,Cabin Fever,95,160,148,71,26,2.546
4777,1983,Videodrome,41,79,160,149,71,3.26
4801,2003,Darkness Falls,41,97,180,128,54,3.114
4825,1985,Brazil: The Love Conquers All Version,82,69,118,133,98,3.192
4849,1981,Taps,5,26,168,214,87,3.704
4873,1968,The Doris Day Show: Season 1,30,10,25,15,14,2.7127659574468086
4897,1961,Nikki: Wild Dog of the North,41,59,182,114,55,3.1840354767184036
4921,1995,Megaman: Battle for the Future,33,22,45,21,33,2.9935064935064934
4945,1973,5 Films About Christo & Jeanne-Claude,17,10,39,67,42,3.611428571428571
4969,1981,The Flame Trees of Thika,17,10,47,66,47,3.620320855614973
4993,2004,Chicago with Earth Wind & Fire: Live at the Greek Theatre,15,13,44,46,44,3.5617283950617282
5017,1963,A New Kind of Love,19,46,90,42,26,3.0448430493273544
5041,1998,Clay Pigeons,14,58,180,171,77,3.478
5089,2002,Fushigi Yugi: The Mysterious Play: Eikoden,18,13,34,58,76,3.809045226130653
5113,1985,Subway,72,118,179,94,37,2.812
5137,1985,Out of Africa,14,40,157,170,119,3.68
5161,2005,Pride FC: Body Blow,7,1,6,22,12,3.6458333333333335
5185,2004,Shadow of Fear,39,120,253,77,11,2.802
5209,1997,Dein Perry's: Tap Dogs,20,14,35,31,27,3.2440944881889764
5233,2004,Alien 3000,111,58,28,4,7,1.7403846153846154
5257,2003,The Secret Lives of Dentists,52,102,196,125,25,2.938
5281,2004,Paranoia 1.0,123,82,54,14,9,1.950354609929078
5305,1993,Judgment Night,28,72,196,140,64,3.28
5329,2005,The Dream of Sparrows: Iraq Eye Group: Vol. 1,11,16,27,11,9,2.8783783783783785
5353,1970,Zatoichi Meets Yojimbo,12,17,73,106,71,3.7419354838709675
5377,1998,Lateline: The Complete Series,45,27,44,38,20,2.7758620689655173
5401,2004,Dodgeball: A True Underdog Story,26,72,186,137,79,3.342
5425,1999,Best Laid Plans,38,96,223,117,26,2.994
5449,2004,Ab Tak Chhappan,14,23,45,128,46,3.66015625
5473,1969,The Undefeated,22,26,174,179,99,3.614
5521,1988,Stealing Home,26,50,193,147,84,3.426
5545,2002,Bad Company,21,62,214,157,46,3.29
5593,1999,Durango Kids,19,28,63,33,12,2.9419354838709677
5617,2000,Hanging Up,59,141,191,81,28,2.756
5641,1995,Voodoo,31,28,41,7,5,2.3482142857142856
5665,1987,The Secret of My Success,11,50,189,187,63,3.482
5689,1982,Forced Vengeance,17,18,68,28,16,3.054421768707483
5713,2000,Backlash,31,52,75,20,6,2.5543478260869565
5737,1999,Two Ninas,39,97,214,110,36,3.0141129032258065
5761,2001,Dawson's Creek: Season 5,51,33,76,104,236,3.882
5785,2000,The Cars: Live,24,39,72,38,25,3.005050505050505
5809,1988,Eight Men Out,8,25,160,230,77,3.686
5833,1968,Bandolero!,13,38,155,91,30,3.2660550458715596
5857,1992,Citizen Cohn,25,66,197,168,44,3.28
5881,2001,Lagaan,31,45,119,183,122,3.64
5905,1998,The Worst Witch: Miss Cackle's Birthday Surprise,19,16,40,20,22,3.0854700854700856
5929,2004,Willie Nelson: Live at Billy Bob's Texas,13,17,30,28,18,3.19811320754717
5953,2001,The Middle Passage,19,19,28,11,18,2.8947368421052633
5977,1998,Why Do Fools Fall in Love,22,71,186,134,87,3.386
6001,1992,Tom and Jerry: The Movie,56,74,172,121,77,3.178
6025,2002,Benjamin Franklin,20,31,94,209,146,3.86
6049,2002,Azumanga Daioh,35,33,61,129,242,4.02
6073,1996,Bulletproof,24,77,202,149,48,3.24
6097,2002,Blushing Bloopers,43,32,22,3,5,2.0
6121,2002,Kirby: Kirby Comes to Cappytown,35,17,40,25,33,3.026666666666667
6145,1999,The King of Masks,20,18,79,235,148,3.946
6169,1977,Operation Thunderbolt,37,25,58,65,48,3.2660944206008584
6193,1991,Freejack,50,116,194,106,34,2.916
6217,1999,Q: The Movie,24,18,15,3,4,2.140625
6241,1965,Operation Y and Other Shurik's Adventures,14,7,28,47,94,4.052631578947368
6265,1976,Jackson County Jail,19,31,27,10,4,2.4395604395604398
6289,2005,The Perfect Neighbor,64,108,102,32,13,2.4420062695924765
6313,2002,Plan Colombia: Cashing in on the Drug War Failure,12,5,31,24,15,3.2873563218390807
6337,2001,Joe Dirt,32,77,193,139,59,3.232
6361,2001,Traveling to Olympia,107,88,89,40,21,2.36231884057971
6385,1991,Body Chemistry II: Voice of a Stranger,63,52,39,13,11,2.196629213483146
6409,2003,Bulgarian Lovers,38,92,164,145,61,3.198
6433,2003,Barney's Outdoor Fun!,33,15,38,18,5,2.5137614678899083
6481,2000,Beat,64,92,86,53,16,2.5659163987138265
6529,1977,Three's Company: Season 1,58,34,131,140,137,3.528
6577,1998,Roaring Glory Warbirds: Vought F4U Corsair,10,15,32,17,7,2.950617283950617
6601,1999,Above All Else: The Everest Dream,18,27,54,37,12,2.9864864864864864
6625,2002,Lupin the 3rd: The Secret of Twilight Gemini,22,10,33,15,16,2.9270833333333335
6649,2002,Ozzy Osbourne: Live at Budokan,18,14,39,55,37,3.4846625766871164
6673,2004,Godsend,28,109,228,107,28,2.996
6697,1998,Smoke Signals,19,37,150,192,102,3.642
6721,2004,Suspect Zero,26,74,213,151,36,3.194
6745,1991,100 Days,16,23,31,13,5,2.6363636363636362
6769,1987,Jackson Pollock,34,45,143,172,106,3.542
6793,1999,Dilbert: The Complete Series,45,51,137,151,116,3.484
6817,1989,Tour of Duty: Season 2,14,8,39,79,85,3.9466666666666668
6841,2004,MARS Dead or Alive: Nova,9,23,85,115,61,3.6689419795221845
6865,2004,Rave Master,10,15,23,37,50,3.7555555555555555
6889,1992,When the Party's Over,107,165,134,22,14,2.255656108597285
6913,1994,The Defender,24,51,147,182,96,3.55
6937,1996,Spin City: Michael J. Fox: His All-Time Favorites: Vol. 1,32,31,154,179,104,3.584
6961,1997,George of the Jungle,37,86,187,120,70,3.2
6985,1979,Real Life,56,70,150,148,76,3.236
7009,2002,Undercover Brother,40,92,200,126,42,3.076
7033,2004,A Date with Shahrukh,27,33,64,21,26,2.91812865497076
7057,2002,Lord of the Rings: The Two Towers: Extended Edition,1,3,21,85,390,4.72
7081,1991,Cabeza De Vaca,46,53,93,54,29,2.88
7129,2004,Major League Soccer: Greatest Goals 1996-2003,9,16,36,19,13,3.118279569892473
7153,1972,Hanzo the Razor: Sword of Justice,19,41,59,40,26,3.0702702702702704
7177,1996,Palookaville,37,89,207,93,25,2.9556541019955653
7201,2004,Hitman's Code,38,48,38,11,3,2.2246376811594204
7225,1993,Hear No Evil,45,89,267,86,13,2.866
7249,2004,Alfie,46,124,211,98,21,2.848
7273,2004,Mayor of the Sunset Strip,29,65,175,172,59,3.334
7297,1993,Claire of the Moon,83,108,171,95,43,2.814
7321,2001,Fat Girl,75,114,165,113,33,2.83
7345,1991,God of Gamblers II,14,21,85,100,52,3.5698529411764706
7369,2003,Wanda Sykes: Tongue Untied,32,41,131,177,119,3.62
7393,1993,Prime Suspect 3,14,12,53,177,244,4.25
7417,1986,Under the Cherry Moon,135,151,106,56,52,2.478
7441,2003,Perfect Strangers,104,168,136,38,11,2.308533916849015
7465,2004,The Life,231,154,82,23,10,1.854
7489,1998,Portland Street Blues,29,29,44,25,13,2.742857142857143
7513,2003,The Life of David Gale,12,29,102,236,121,3.85
7561,1966,Su Excelencia,26,22,43,43,38,3.261627906976744
7585,1989,Kill Me Again,35,108,248,97,12,2.886
7609,1998,Bear in the Big Blue House: Sleepy Time,59,33,123,151,115,3.4781704781704783
7633,1998,Can't Hardly Wait,23,58,169,181,69,3.43
7657,1999,SpongeBob SquarePants: Tide and Seek,27,14,82,152,225,4.068
7681,2004,Island at War,26,24,85,194,171,3.92
7705,1992,Final Analysis,24,86,221,128,41,3.152
7729,1988,Inspector Wears Skirts,26,21,28,16,3,2.4574468085106385
7753,1983,All Creatures Great and Small: The Specials,20,15,61,181,223,4.144
7777,1997,River Made to Drown In,61,147,175,87,30,2.756
7801,1989,The Abyss: Bonus Material,23,41,112,123,91,3.5589743589743588
7825,2001,Prince Charming,42,79,224,113,42,3.068
7849,1987,Unsolved Mysteries: Ghosts,35,36,103,108,67,3.3896848137535818
7873,2002,The Stalker,68,48,35,9,11,2.1052631578947367
7897,2002,Alanis Morissette: Feast on Scraps,17,15,43,21,13,2.981651376146789
7921,2005,Day of the Dead 2: Contagium,99,79,54,14,3,1.9678714859437751
7945,2001,Pyaar Tune Kya Kiya,10,21,25,12,8,2.8289473684210527
7969,1978,7 Grand Masters,11,14,45,54,23,3.435374149659864
8017,1964,The Munsters: Season 1,21,41,156,142,140,3.678
8041,2002,Rare Birds,48,92,215,107,38,2.99
8065,1988,Lady in White,34,44,133,156,81,3.4598214285714284
8089,1990,My Mother's Castle,17,50,110,195,128,3.734
8113,1994,Sweet Valley High: Season 1,59,35,72,27,32,2.7244444444444444
8137,1968,Lost in Space: Season 3: Vol. 2,23,21,54,69,63,3.5565217391304347
8161,2004,Helter Skelter: Director's Cut,28,82,231,114,45,3.132
8185,2001,Final Fantasy Unlimited,50,75,110,136,129,3.438
8209,2004,Pablo Francisco: Bits and Pieces,35,54,79,151,117,3.5986238532110093
8233,1968,Destroy All Monsters,25,76,172,116,111,3.424
8257,1998,Totally Confused,40,54,61,13,6,2.3735632183908044
8281,1999,World Class Trains,13,22,49,29,14,3.0708661417322833
8305,1997,In Praise of Older Women,13,11,27,6,4,2.622950819672131
8329,1977,Airport '77 / The Concorde: Airport '79: Double Feature,21,66,216,130,67,3.312
8353,1999,The Best of Film Noir,45,72,76,36,16,2.6163265306122447
8377,1999,Felicia's Journey,34,77,198,154,37,3.166
8401,1997,Teenage Catgirls in Heat,69,34,16,15,10,2.048611111111111
8425,2000,Picking Up the Pieces,116,150,147,61,26,2.462
8449,1999,Ratas Ratones Rateros,31,45,84,49,29,3.0
8497,1971,Support Your Local Gunfighter,16,40,159,175,110,3.646
8521,2003,The Flower of Evil,43,124,215,102,16,2.848
8545,2004,Metallica: Some Kind of Monster,22,45,148,195,90,3.572
8569,1994,Swimming with Sharks,27,61,169,179,64,3.384
8593,2000,Mexico City,27,64,81,35,7,2.677570093457944
8617,1989,Red Scorpion,51,91,142,97,86,3.1627408993576016
8641,1998,Hard Rain,26,87,228,142,17,3.074
8665,2001,The Seventh Stream,37,90,200,136,37,3.092
8689,1981,Carbon Copy,29,96,244,94,37,3.028
8713,1976,The Best of Charlie's Angels,65,47,162,98,128,3.354
8761,1995,She Fought Alone,22,38,146,144,100,3.582222222222222
8785,1981,Christiane F.: A True Story,10,12,30,31,15,3.295918367346939
8809,2002,Star Trek: Nemesis,18,69,162,180,71,3.434
8857,1989,Troop Beverly Hills,62,105,161,99,73,3.032
8881,1987,RoboCop,15,52,199,179,55,3.414
8905,2001,Knight Hunters,49,73,122,115,109,3.3461538461538463
